title,abstract,wosarticle__py,keywords,relevance
"Sensitivity of the DSSAT model in simulating maize yield and soil carbon dynamics in arid Mediterranean climate: Effect of soil, genotype and crop management","Crop models may potentially explore alternative ways to improve agroecosystem resilience in arid regions of Middle East and North Africa. Mapping the outputs behavior as a function of the inputs and quantifying the uncertainty contribution of inputs to the variability of outputs are crucial for understanding and applying complex mathematical models to a new environment. Objectives of present research are (i) to calibrate and evaluate the Decision Support System for Agrotechnology Transfer (DSSAT) cropping system model using detailed experimental datasets on maize production in arid sandy soils (Entisol) and (ii) to determine the model's sensitivity to soil, genotype and crop management inputs under the currently explored conditions (low fertility and water holding capacity) based on multivariate analysis and variance decomposition methods. The goodness-of-fit statistics between observed and simulated data indicated that the calibrated model reasonably well simulates maize phenology, growth and yield, evapotranspiration, soil water content, grain N concentration, and postharvest soil NO3-N in eight year site field experiments. A global sensitivity analysis using the co-inertia method was carried out to link 14 output variables and 25 soil and genotype input parameters. Maize growth and yield variables were strongly correlated with soil hydrological and fertility input parameters such as soil water upper limit (SDUL) and soil organic carbon (SOC), whereas simulation of maize phenology was largely determined by phenological genotype-specific cultivar input parameters. A strong association was also observed between the output variables of yield and soil fertility. The effect of carbon (C) related soil input parameters of initial SOC and stable SOC and crop management factors of maize residue retention and compost application under no-till system on the long-term (10 years) simulation of yield and SOC dynamics was further explored using Sobol' method. Simulated grain yield, water productivity, active SOC, and cumulative soil CO2 efflux were most sensitive to initial stable SOC and compost application. Maize residue retention significantly affected the simulation of cumulative N mineralization, SOC % in 0.2 m depth, and cumulative soil CO2 efflux through interactions effect, i.e. total-order sensitivity index (S-Ti) > 0.05, with other inputs. Compost application increased grain yield by 13 %, SOC stock by 5%, and cumulative soil CO2 efflux by 95 % compared with no application. However, compost application with maize residue retained significantly reduced cumulative soil CO2 efflux by 12 % compared with compost application with maize residue removed. Therefore, the application of compost with maize residue retained under no-till system is a plausible crop management option for agronomically improved and environmentally sound maize production in arid sandy soils.",2021,DSSAT; Sensitivity analysis; Maize; Soil carbon dynamics; Sandy soil; Arid Environments,No (2)
The influence of particle size on the potential of enhanced basalt weathering for carbon dioxide removal & nbsp;-Insights from a regional assessment,"Enhanced weathering through basalt application on agricultural land represents a proposed strategy for the removal of carbon dioxide from the atmosphere. It has been shown that enhanced weathering is principally feasible on a global scale, but there is still uncertainty with respect to the predicted drawdown in a given timeframe. This information is however vital to evaluate, if enhanced weathering should be further considered as a factor to alleviate the impact of the climate crisis. With this in mind, this article reviews of the current state of research and estimates the CO2 drawdown for scenarios using basalt powders of different particle size distri-bution (<100 mu m, <10 mu m and <1 mu m). Calculated with a modified shrinking core model, the amount of powder dissolved within a timeframe of 10 years is approximately 16% (<100 mu m), 55% (<10 mu m) and 99.9% (<1 mu m). This corresponds to a gross CO2 removal of 0.045 t CO2 t-1 of rock (<100 mu m) and 0.153 t CO2 t-1 of rock, (<10 mu m). We evaluate our results on regional scale through a case study for Austria, including emissions from mining, comminution, application and transport. Assuming an average distance of 300 km from mine to field, the net CO2 drawdown decreases to approximately 0.027 t CO2 t-1 of rock (<100 mu m) or 0.096 t CO2 t-1 (<10 mu m), when rail transport is used. For truck transport, the numbers are reduced to-0.030 t CO2 t-1 of rock (<100 mu m) or 0.039 t CO2 t- 1 (<10 mu m), respectively. Accordingly, at the current CO2 intensity, transport related emissions may cancel out any drawdown if grain sizes (<100 mu m) are used. Our estimates suggest that enhanced weathering will only significantly contribute to net CO2 drawdown if grain sizes (<10 mu m) are used. Under these conditions the large-scale application of particles with a diameter <10 mu m may remove about 2% of Austria's annual Greenhouse gas emissions. We discuss challenges towards this goal, including the enormous amounts of rock needed and the energy requirement related to grinding, as well as uncertainties related to actual field weathering rates. Those uncertainties hinder the precise quantification of CO2 drawdown as of now. While enhanced weathering remains a promising path for climate change mitigation, further research at laboratory and field scale is required to put this technology to optimal use.",2021,Negative emissions; Basalt weathering rates; Carbon dioxide removal; Enhanced weathering; Soil amendment; Shrinking core model,No (2)
Controlled Grazing of Maize Residues Increased Carbon Sequestration in No-Tillage System: A Case of a Smallholder Farm in South Africa,"Despite the positive impact of no-tillage (NT) on soil organic carbon (SOC), its potential to reduce soil CO2 emission still needs enhancing for climate change mitigation. Combining NT with controlled-grazing of crop residues is known to increase nutrient cycling; however, the impacts on soil CO2 effluxes require further exploration. This study compared soil CO2 effluxes and SOC stocks from conventional tillage with free grazing (CTFG), NT with free grazing (NTFG), NT without grazing (NTNG), NT without crop residues (NTNR) and NT with controlled-grazing (NTCG), in South Africa. Soil CO2 effluxes were measured 1512 times over two years using LI-COR 6400XT, once to thrice a month. Baseline SOCs data were compared against values obtained at the end of the trial. Overall, NTCG decreased soil CO2 fluxes by 55 and 29% compared to CTFG and NTNR, respectively. NTCG increased SOCs by 3.5-fold compared to NTFG, the other treatments resulted in SOC depletion. The increase in SOCs under NTCG was attributed to high C input and also low soil temperature, which reduce the SOC mineralization rate. Combining NT with postharvest controlled-grazing showed high potential to increase SOCs, which would help to mitigate climate change. However, it was associated with topsoil compaction. Therefore, long-term assessment under different environmental, crop, and soil conditions is still required.",2021,conservative agriculture; carbon dioxide; carbon sequestration; smallholder systems; soil respiration,Yes (1)
Soil quality regeneration by grass-clover leys in arable rotations compared to permanent grassland: Effects on wheat yield and resilience to drought and flooding,"Intensive arable cropping depletes soil organic carbon and earthworms, leading to loss of macropores, and impaired hydrological functioning, constraining crop yields and exacerbating impacts of droughts and floods that are increasing with climate change. Grass and legume mixes traditionally grown in arable rotations (leys), are widely considered to regenerate soil functions, but there is surprisingly limited evidence of their effects on soil properties, resilience to rainfall extremes, and crop yields. Using topsoil monoliths taken from four intensively cropped arable fields, 19 month-old grass-clover ley strips in these fields, and from 3 adjacent permanent grasslands, effects on soil properties, and wheat yield in response to four-weeks of flood, drought, or ambient rain, during the stem elongation period were evaluated. Compared to arable soil, leys increased earthworm numbers, infiltration rates, macropore flow and saturated hydraulic conductivity, and reduced compaction (bulk density) resulting in improved wheat yields by 42-95 % under flood and ambient conditions. The leys showed incomplete recovery compared to permanent grassland soil, with modest gains in soil organic carbon, total nitrogen, water-holding capacity, and grain yield under drought, that were not significantly different (P > 0.05) to the arable controls. Overall, grass-clover leys regenerate earthworm populations and reverse structural degradation of intensively cultivated arable soil, facilitating adoption of no-tillage cropping to break out of the cycle of tillage-driven soil degradation. The substantial improvements in hydrological functioning by leys will help to deliver reduced flood and water pollution risks, potentially justifying payments for these ecosystem services, especially as over longer periods, leys increase soil carbon sequestration.",2021,Sustainable agriculture; Regenerative agriculture; Soil hydrology; Climate change resilience; Soil organic matter; Earthworm population recovery,No (2)
Carbon capture and storage as a strategic reserve against China's CO2 emissions,"China has experienced economic boom over the last four decades, along with high greenhouse gas emissions because of the extensive application of fossil fuels, especially coal. To mitigate global warming, China, as one of the fastest developing economies, made decisions of peak carbon emissions by 2030 and become carbon neutral by 2060. These decisions are particularly challenging for China to keep a sustainable economy while reducing carbon emissions by decreasing the use of fossil fuels, where economic growth remains the top priority of society. Energy efficiency, however, is unlikely to improve much due to ceiling effect. Carbon capture and storage (CCS), a technology that prevents CO2 emitted by coal-burning factories from being delivered into the environment, is one of the best options available with large-scale capacity for China to obviously reduce CO2 emissions from factory sectors in short time. This work discussed the potential application of CCS technology to mitigate CO2 emissions from burning fossil fuels, particularly coal-fired power plants, in China. We outlined the current CCS technology status, the obstacles and opportunities for application CCS in China, with emphasis on the market mechanisms and possible strategies to promote CCS in China, thus paving the way for China?s future CCS policy formulation.",2021,Carbon dioxide; Carbon capture and storage; Emission reduction; China,No (2)
Ending the Cinderella status of terraces and lynchets in Europe: The geomorphology of agricultural terraces and implications for ecosystem services and climate adaptation,"Terraces and lynchets are ubiquitous worldwide and can provide increasingly important Ecosystem Services (ESs), which may be able to mitigate aspects of climate change. They are also a major cause of non-linearity between climate and erosion rates in agricultural systems as noted fromalluvial and colluvial studies. Newresearch in the `critical zone' has shown that we must now treat soil production as an ecologically sensitive variable with implications for soil carbon sequestration. In this reviewand synthesis paperwe present a modified classification of agricultural terraces, review the theoretical background of both terraces and lynchets, and show how new techniques are transforming the study of these widespread and often ancient anthropogenic landforms. The problems of dating terraces and the time-consuming nature of costly surveys have held back the geomorphological and geoarchaeological study of terraces until now. The suite of techniques nowavailable, and reviewed here, includes Digital ElevationModels (DEMs) - Structure fromMotion (SfM) photogrammetry, Airborne and Terrestrial Laser Scanning (ALS-TLS); optically stimulated luminescence (OSL and pOSL), portable X-ray fluorescence (pXRF), Fourier-transform infra-red analysis (FTIR), phytoliths from plants, and potentially environmental DNA. Three process-related geomorphological questions arise from using this suite of methods; a) can they provide both a chronology of formation and use history, b) can we identify the sources of all the soil components? c) Can terrace soil formation and ecosystem services be modelled at the slope to catchment scale? The answers to these questions can also informthe management of the large areas of abandoned and under-used terraces that are resulting from both the economics of farming and rural population changes. Where possible, examples are drawn from a recently started ERC project (TerrACE; ERC-2018-2023; https://www.terrace.no/) that isworking at over 15 sites in Europe ranging from Norway to Greece. (c) 2020 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license (http:// creativecommons.org/licenses/by/4.0/).",2021,Erosion; Agricultural soils; Soil formation; Geomorphic history,No (2)
Costs of avoiding net negative emissions under a carbon budget,"The 2 degrees C and 1.5 degrees C temperature targets of the Paris Agreement can be interpreted as targets never to be exceeded, or as end-of-century targets. Recent literature proposes to move away from the latter, in favour of avoiding a temperature overshoot and the associated net negative emissions. To inform this discussion, we investigate under which conditions avoiding an overshoot is economically attractive. We show that some form of overshoot is attractive under a wide range of assumptions, even when considering the extra damages due to additional climate change in the optimisation process. For medium assumptions regarding mitigation costs and climate damages, avoiding net negative emissions leads to an increase in total costs until 2100 of 5% to 14%. However, avoiding overshoot only leads to some additional costs when mitigation costs are low, damages are high and when using a low discount rate. Finally, if damages are not fully reversible, avoiding net negative emissions can even become attractive. Under these conditions, avoiding overshoot may be justified, especially when non-monetary risks are considered.",2021,climate damages; economic costs and benefits; IAMs; temperature overshoot; paris agreement; damage reversibility,Yes (1)
Effects of elevation and slope aspect on the distribution of the soil organic carbon associated with Al and Fe mineral phases in alpine shrub-meadow soil,"Mountain ecosystems store a large amount of soil organic carbon (SOC) sensitive to global climate change. The SOC associated with Al and Fe minerals is important for SOC retention because of the ubiquitous nature and highly reactive surface properties of these minerals. Topography is also known to impact the distribution and transformation of SOC by creating different microclimates. However, the effect of topography on the distribution of organo-mineral associations has seldom been reported. This study uses a selective dissolution method to quantify the soil carbon (C) fractions associated with Al and Fe minerals in alpine shrub-meadow soil. Na-pyrophosphate (PP), HCl-hydroxylamine (HH) and dithionite-HCl (DH) were used to quantify organo-metal complexes, SOC associated with short-range order (SRO) phases and crystalline phases, respectively. Results suggest that the Al and Fe mineral-associated C accounted for a small proportion of SOC (less than 30%) in each extraction. A higher concentration coupled with a lower percentage of SOC was found in the A horizon compared to the B horizon. A significant correlation was observed between Fe and C in PP and HH extractions, whereas Al was significantly correlated with C in DH extractions. Elevation and slope aspect strongly influenced soil biotic and abiotic parameters, as well as organo-mineral associations. The C fractions extracted by PP and HH were significantly higher in the NE slope aspect than the SW slope aspect. These fractions were positively correlated with soil water content and negatively correlated with soil pH. The C fractions extracted using DH decreased with increasing elevation and were positively correlated with DH extractable Al. Our results highlight the role of topography on the distribution of organo-mineral associations, which should be considered during the assessment of SOC stability in alpine soils. (C) 2020 Elsevier B.V. All rights reserved.",2021,Alpine shrub-meadow soil; Soil organic carbon stability; Selective dissolution; Organo-mineral associations; Mineral phases,No (2)
ALLOMETRIC MODELS FOR ESTIMATING ABOVEGROUND BIOMASS AND CARBON STOCK IN PLANTED AQUILARIA MALACCENSIS STAND,"In Malaysia, the demand for high-value agarwood produced by Aquilaria spp. and efforts to reduce harvesting pressure on wild stands of these trees have resulted in an increase of Aquilaria plantations, which are harvested as a short-rotation (7 years) tree crop. Aquilaria spp. plantations potentially contribute to biomass accumulation as the trees are planted as reforestation and afforestation projects on marginal and idle lands but harvesting may affect their function as carbon sink. There are important environmental impact assessments of Aquilaria spp. plantations related to biomass and carbon sequestration. This study was conducted to develop an allometric model to estimate aboveground biomass and carbon stocks for plantation-grown Aquilaria spp. A census was conducted on 418 ten-year-old Aquilaria malaccencis trees on a 1-ha plot and measurements of height and stem diameter were used to categorise the trees into three diameter classes (small, medium, large). Ten trees were randomly selected for destructive sampling and developing allometric equations for estimating aboveground biomass. The recommended model, which used stem diameter as the predictor variable, estimated 23,615 kg total aboveground biomass for this 1-ha plot. Carbon analysis of stem, branches and foliage revealed an average carbon content of 40.35%. Average carbon density was 285 kg tree(-1) and 9353 kg ha(-1). The 10 destructively sampled trees stored 1046 kg CO2 equivalent. Our findings provided baseline information on the biomass and carbon stock measurements for plantation-grown A. malaccensis and supported plantation in accumulating biomass and carbon storage.",2021,Agarwood; allometric equation; carbon sequestration; destructive sampling,No (2)
Monoculture or Mixed Culture? Relevance of Fine Root Dynamics to Carbon Sequestration Oriented Mangrove Afforestation and Restoration,"Fine root dynamics have the potential to contribute to ecosystem biogeochemical cycling, especially for carbon. This is particularly true in mangroves which are the most productive and carbon-rich ecosystems of the world. However, few studies comprehensively evaluated the contribution of mangrove fine root dynamics to soil organic carbon accumulation. In southern China, while the introduced fast-growing Sonneratia apetala and native shrubby Kandelia obovata have been widely used in mangrove reforestation/afforestation programs since the mid-1980s, their implications and ecosystem services are still unclear. Here we show distinct differences in fine root dynamic among 12-year-old S. apetala, K. obovata monocultures, and their mixed stand using root coring, ingrowth core, and intact-core methods. Soil organic carbon storage was examined by soil coring method. One-year observation showed significant differences among the three mangrove plantations in fine root biomass, necromass, turnover rate, and decomposition decay rate constant. Soil organic carbon stock was 15.8 +/- 0.8, 7.8 +/- 0.5, and 11.9 +/- 1.6 Mg C ha(-1) for K. obovata, S. apetala monocultures and their mixed stand, respectively. Live fine root biomass, fine root necromass, annual fine root production and fine root mass decay rate constant are significantly correlated to soil organic carbon content across plantations. We suggest that mangrove fine root dynamics were mainly affected by soil nutrient conditions and species composition. Mixed stands may not have higher soil organic carbon storage than monocultures. The functional trait of different mangrove species is responsible to determine the carbon storage function of mixed stands. Fine roots play an important role in carbon storage, and fine root dynamics have a significant effect on carbon sequestration in mangrove ecosystems. The shrubby native K. obovata had a higher potential for belowground carbon sequestration and storage than the tall introduced S. apetala.",2021,fine root dynamics; mangrove; monoculture; mixed plantation; organic carbon storage,No (2)
"Soil Carbon, Nitrogen, and Phosphorus Storages and Their Stoichiometry Due to Mixed Afforestation with Hippophae rhamnoides in the Loess Hilly Region, China","Mixed-species tree plantations have additional ecological benefits over single-species tree plantations, such as habitat restoration and increasing biodiversity. However, changes in the soil carbon, nitrogen, and phosphorus storages and stoichiometry after mixed afforestation with the N-fixing tree species under the ""Grain for Green Project"" in the Loess Plateau of China are not well understood. Typical restoration types, including the mixed plantations of Pinus tabuliformis with Hippophae rhamnoides (HrPt) and Robinia pseudoacacia with H. rhamnoides (HrRp), as well as the pure forests of P. tabuliformis (P-t) and R. pseudoacacia (R-p), were chosen to examine changes in the storages and stoichiometry of soil organic carbon (SOC), total nitrogen (TN), and total phosphorus (TP) in 0-100 cm soil layers. The results showed that compared with the corresponding pure forest, HrRp significantly increased the SOC content in the 0-20 cm soil layer and the SOC storage in the 0-100 cm layer, while HrPt significantly increased the SOC content in the 0-10 cm layer, but there was no significant difference for SOC storage in the 0-100 cm layer between P-t and HrPt. Similarly, HrRp significantly increased the TN content in the 0-10 cm layer and the TN storage in the 0-100 cm layer, but there was no significant difference in TN storage between P-t and HrPt. Furthermore, HrRp significantly increased the TP content in the 0-100 cm layer and TP storage was higher than that of R-p, while there were no significant differences in TP content and storage between P-t and HrPt. In the 0-10 cm soil layer, HrRp significantly reduced C:N and increased N:P, but HrPt significantly increased C:P. In addition, compared with the pure forest, the soil physical and chemical properties had a stronger control effect on the soil storages and stoichiometric ratios in the mixed forests. In summary, compared with P. tabuliformis, the introduction of N-fixing tree species into the R. pseudoacacia forest was more conducive to the accumulation of SOC, TN, and TP reserves and the improvement of the N and P utilization efficiency. These results have important implications for the restoration of degraded vegetation and scientific management of mixed plantations on the Loess Plateau and can provide basic data for the assessment of soil quality at the regional scale.",2021,mixed afforestation; pure plantation; carbon storage; nitrogen storage; phosphorus storage; stoichiometry; N-fixing tree species,No (2)
Assessment of future potential carbon sequestration and water consumption in the construction area of the Three-North Shelterbelt Programme in China,"In the background of global warming, the carbon stock of afforestation is increasingly important. However, afforestation may consume large amounts of water, putting pressure on regional water resources. How to balance the carbon stock and water consumption of afforestation is a vital problem throughout the world. The Three-North Shelterbelt may be a vital carbon pool in the future while consuming a large amount of water. Therefore, it is urgent to predict and evaluate the future carbon stock potential and water consumption of the Three-North Shelterbelt. Indicator system assessment and MaxEnt are used to predict the potential forest habitat in the construction area of the Three-North Shelterbelt program. The results show that the area of the potential forest habitat is 0.58 million km(2) in the indicator system assessment. The potential forest habitat area totals 2.22 million km(2) in the MaxEnt results, including a poorly suitable habitat with an area of 1.35 million km(2). Scenario-I is the hypothetical forest structure based on indicator system assessment, and scenarios-II and scenarios-III are based on the suitability level of MaxEnt model results. the potential carbon stock in scenario-I is 0.71 billion Mg, and its potential water consumption in the forest growing season is 261.36 billion m(3). The potential carbon stock in scenario-II and scenario-III is 3.54 billion Mg and 1.19 billion Mg, and the potential water consumption is 625.83 billion m(3) and 631.28 billion m(3), respectively. There is a strong correlation between carbon stock and water consumption, with a correlation coefficient of more than 0.718. Three-North Shelterbelt construction may bring huge carbon sink benefits, but it may also bring huge pressure to local water security.",2021,Three-North region in China; Maximum entropy model; Carbon sequestration; Transpiration; Shelterbelt forest,Yes (1)
Terrestrial ecological restoration in China: identifying advances and gaps,"Background China has made great progress in ecological restoration. However, there have been no analyses on ecological restoration for specific terrestrial ecosystems. This study identified the important knowledge gaps and advances related to terrestrial ecological restoration in China. Results 7973 papers published between 1978 and 2020 were investigated and about 962 articles were used in this analysis after manually screening. Since the first large national ecological restoration project in 1978, the most frequently studied ecosystem has shifted from farmland ecosystems in 1978-2000 to forest ecosystems after 2000. Forests were the most common ecosystem type investigated, while less attention was paid to wetlands and riparian systems. Meanwhile, the most common ecological issue shifted from environmental pollution in 1978-2000 to the declining resource-carrying capacity of ecosystems after 2000. Studies of ecoregions on the Loess Plateau catchment accounted for more than 40% of papers reviewed in this study, with predominant emphasis on soil and water conservation functionality. Besides, revegetation and afforestation characterized most ecological restoration projects in China, but the natural restoration was relatively less adopted. Additionally, the important tool of reference ecosystem was only used in four studies. Conclusions Ecological restoration has made significant progress in China. We investigated how the ecological restoration can be implemented more effectively. More projects should be implemented for restorative work in wetlands and riparian systems in future. The tradeoff between restorative activities, water resources, and carbon sink needs further research efforts. More emphasis on biodiversity conservation is warranted. Newly developed theory (e.g., stepwise ecological restoration) and the recently issued Chinese National Guidelines for Ecological Restoration Projects should be more effectively implemented in future restorative works. This study provides essential information for future restorative work in China. It also provides insights into the development of policy relevant to restoration and adaptive management during the U.N. restoration decade.",2021,Ecological restoration; Ecological rehabilitation; Restorative activities; China; Bibliometrics,No (2)
Navigating Potential Hype and Opportunity in Governing Marine Carbon Removal,"As the technical and political challenges of land-based carbon dioxide removal (CDR) approaches become more apparent, the oceans may be the new “blue” frontier for carbon drawdown strategies in climate governance. Drawing on lessons learnt from the way terrestrial carbon dioxide removal emerged, we explore increasing overall attention to marine environments and mCDR projects, and how this could manifest in four entwined knowledge systems and governance sectors. We consider how developments within and between these “frontiers” could result in different futures—where hype and over-promising around marine carbon drawdown could enable continued time-buying for the carbon economy without providing significant removals, or where reforms to modeling practices, policy development, innovation funding, and legal governance could seek co-benefits between ocean protection, economy, and climate. Copyright © 2021 Boettcher, Brent, Buck, Low, McLaren and Mengis.",2021,,No (2)
Reservoir characterization for uncertainty analysis and its impact on CO2 injection and sequestration in a depleted offshore carbonate gas field,"The emerging global climate change policies have necessitated the strategic need for prudent management of produced contaminants and, with cold flaring being no more the best option, Carbon Capture Utilization &amp; Storage (CCUS) technology provides opportunity for development of high CO2 contaminant fields. A typical CO2 sequestration project comprises capturing CO2 by separating from produced hydrocarbons followed by injection of CO2 into deep geological formations for long term storage. While injection ofCO2 may continue over tens of years, the long-term containment needs to be ascertained for thousands of years. Several geological and geophysical factors along with the existingwells need to be evaluated to assess the potential risks for CO2 leakage that maychallenge the long-term containment. This study considers a depleted carbonate field located offshore Sarawak as a possible long-term CO2 storage site. Elements that may lead to possible leakage of CO2over time are the existing faults or fractures, development of new fractures/faults during injection, caprock failure due to pressures exceeding fracture pressure during/after injection and possible leakage through existing wells. The risk assessment process includes identification and mapping of faults and fracture networks, mapping of seals, evaluation of seismic anomalies and gas while drilling records, pore-pressure analysis, laboratory experiments for analyzing changes in geomechanical &amp; geochemical rock properties and well integrity of existing wells. All these parameters are cross correlated, and qualitative risk categorization is carried out to determine the robustness of the reservoir for long term CO2 storage. The evaluation of available data indicates less frequent faulting occur only towards the flank with no seismic anomalies associated with them. Some seismic anomalies are observed at shallower levels, however their impact on the reservoir and overburden integrity is assessed to be minimum. There are four shale dominated formations mapped in the overburden section, which will act as potential seals. Estimated fracture pressures for the potential seals ranges between 6200-9280 psia for the deepest seal to 2910-4290 psia for the shallowest. Therefore,it is interpreted that if the post injection reservoir pressure is kept below the initial reservoir pressure of 4480 psia, it would not hold any threat to the caprock integrity.Leakage rate riskalong the existing wells was determined based on well log data. Well integrity check of legacywells helped identify two abandoned wells for rigorous remediation to restore their integrity. The subsurface risk analysis is critical to ascertain the long-term containment of injectedCO2. The integrated subsurface characterization and well integrity analysis approach adopted in this work can be applied to any other field/reservoir to validate its robustness for long-term CO2 injection and storage. © 2021, Society of Petroleum Engineers.",2021,,No (2)
Determinants of technical inefficiency in China's coal-fired power plants and policy recommendations for CO2 mitigation,"This study applies data envelopment analysis (DEA) to estimate the technical efficiency (TE) and CO2 emission reduction potential of 1270 coal-fired power plants in 28 Chinese provinces and municipalities. The large dataset used in the study includes 727 combined heat and power (CHP) plants and 543 thermal power plants. Results show an average TE score of 0.57 for the CHP power plants and 0.58 for the thermal power plants, suggesting a significant potential to reduce coal consumption in both types of coal-fired plants. Total CO2 emission reduction potential was estimated to be 953 Mt-CO2, or 19% of the total CO2 emissions of China's electricity and heat producing sectors, indicating that China's coal-fired power plants have a significant potential to mitigate CO2 emissions through technological improvement. In the second stage of the study, a Tobit regression analysis was conducted to identify the determinants of TE. Factors such as the plant's annual operation rate and capacity utilization rate were found to be significant influences. Based on our results, we propose that the Chinese government create a power distribution structure that generates electricity using technologically efficient equipment in areas rich in coal resources and distributes the generated electricity to other areas of the country.",2021,Technical efficiency; Coal-fired power plant; Data envelopment analysis; Tobit regression analysis; CO2; China,No (2)
The impact of network topological structures on systematic technology adoption and carbon emission reduction,"This paper investigates how the topological structure of the technological spillover network among agents affects the adoption of a new clean technology and the reduction of system's carbon emissions. Through building a systematic technology adoption model with technological spillover effect among agents from the network perspective, this paper first illustrates how the new technology diffuses from the earlier adopters to the later adopters under different network topological structures. Further, this paper examines how the carbon emission constraints imposed on pilot agents affect the carbon emissions of other agents and the entire system under different network topological structures. Simulation results of our study suggest that, (1) different topological structures of the technological spillover network have great influence on the adoption and diffusion of a new advanced technology; (2) imposing carbon emission constraints on pilot agents can reduce carbon emissions of other agents and thereby the entire system. However, the effectiveness of the carbon emission constraints is also largely determined by the network topological structures. Our study implies that the empirical research of the network topological structure among the participating entities is a pre-requisite to evaluate the real effectiveness of a carbon emission reduction policy from the system perspective.",2021,,No (2)
Evaluation on water balance and amine emission in CO2 capture,"CO2 capture using amine-based solvent is now available for large scale deployment. Water balance and amine emission are drawing more and more attention as they have significant impacts on operation stability, economic cost and environmental pollution. However, experimentally investigating a new amine solvent in a demonstration test platform is time-consuming and costly. In this paper, a shortcut method was developed based on volatility data of a solvent to evaluate water balance and amine emission in CO2 capture system. Water balance can be achieved by employing a simple water wash after absorber and regulating water wash temperature according to flue gas temperature, CO2 concentration, and CO2 removal efficiency. Simple water wash reduces monoethanolamine (MEA) emission from absorber (215-425 mg/m3) to a level below 5 mg/m3. With constant water wash temperature, increasing absorber temperature condenses more water which is beneficial for reducing amine emission. Variable amines and configurations are also evaluated. Simple water wash is not efficient for those volatile solvents such as 40% 2-amino-2-methyl-1-propanol (AMP), piperazine (PZ)/1-(2-Hydroxyethyl) piperidine (HEPD), MEA/N-methylpyrrolidone (NMP) water-lean solvent, and 2-(diethylamino)ethanol (DEEA)/ 2-((2-aminoethyl) amino) ethanol (AEEA) biphasic solvent as their amine emissions after simple water wash are still higher than 100 mg/m3. For those solvents with moderate volatility, such as 30%MEA and 30-40%AMP, a second water wash is effective to reduce amine emission below 1 mg/m3. While for those highly volatile solvents, such as PZ/HEPD and DEEA blended biphasic solvents, acid wash for further amine emission reduction may be more competitive in view of capital cost and operation cost.",2021,CO2 capture; Water balance; Amine emission; Volatility; Water wash,No (2)
"Transformation technologies for CO2 utilisation: Current status, challenges and future prospects","To prevent global warming and climate change caused by CO2 emissions, the Intergovernmental Panel on Climate Change (IPCC) recommends lowering CO2 emissions to limit the global temperature to 1.5 degrees C. In addition to carbon capture and storage (CCS) technologies, there is a growing interest to explore CO2 utilisation. Several review papers exist in the literature either focusing on one or two CO2 transformation technologies or covering only experimental studies. This review paper addresses the gap by classifying CO2 transformation technologies and looking at products from CO2 conversion. It reviews experiment and modelling/simulationbased studies for CO2 biological and chemical conversion processes to assess their technical barriers. A detailed analysis of their technology readiness level, cost, market and environmental benefits are also elaborated. Finally, the research trend and projects for CO2 transformation technologies worldwide as well as the key challenges hindering their commercial deployments are carefully outlined. The analysis of the research trend shows a significant increase in research for CO2 utilisation with hydrogenation and electrochemical reduction being the most studied technologies since 2016. 53% of the projects are laboratory projects whereas, only 14% account for commercial projects. There is currently no commercial project for plasma catalysis, photochemical, electrochemical and non-photosynthetic technologies. The USA holds the highest number of 45 projects including 8, 6, 10 and 21 commercial, demonstration, pilot and laboratory projects, respectively. The development of improved catalysts and process intensification techniques are highly needed for successful scale-up of CO2 transformation technologies.",2021,CO2 utilisation; Chemical conversion; Biological conversion; Catalyst; Modelling and simulation; Process intensification,No (2)
Balancing a budget or running a deficit? The offset regime of carbon removal and solar geoengineering under a carbon budget,"The idea of the carbon budget is a powerful conceptual tool to define and quantify the climate challenge. Whilst scientists present the carbon budget as the geophysical foundation for global net-zero targets, the financial metaphor of a budget implies figuratively the existence of a 'budget manager' who oversees the budget balance. Using this fictive character of budget manager as a heuristic device, the paper analyses the roles of carbon dioxide removal (CDR) and solar radiation management (SRM) under a carbon budget. We argue that both CDR and SRM can be understood as 'technologies of offset'. CDR offsets positive carbon emissions by negative emissions, whereas SRM offsets the warming from positive greenhouse gas forcing by the induced cooling from negative forcing. These offset technologies serve as flexible budgeting tools in two different strategies for budget management: they offer the promise of achieving a balanced budget, but also introduce the possibility for running a budget deficit. The lure of offsetting rests on the flexibility of keeping up an 'appearance' of delivering a given budget whilst at the same time easing budget constraints for a certain period of time. The political side-effect of offsetting is to change the stringency of budgetary constraints from being regulated by geophysics to being adjustable by human discretion. As a result, a budget deficit can be normalised as an acceptable fiscal condition. We suggest that the behavioural tendency of policymakers to avoid blame could lead them to resort to using offset technologies to circumvent the admission of failure to secure a given temperature target.",2021,Carbon budget; Climate geoengineering; Carbon dioxide removal; Solar radiation management; Offset; Net zero,Yes (1)
